,id,mark,name,price,params
41,i4115334375,Audi,"Audi A6 3.0 AT, 2019, 51 000 км",5700000,"51 000 км, 3.0 AT (231 л.с.), седан, полный, дизель"
42,i3675665511,Audi,"Audi Q5 2.0 AT, 2011, 227 020 км",1459000,"227 020 км, 2.0 AT (211 л.с.), внедорожник, полный, бензин"
43,i4190087112,Audi,"Audi Q3 2.0 AMT, 2013, 132 200 км",1750000,"132 200 км, 2 AMT (170 л.с.), внедорожник, полный, бензин"
44,i4562025311,Audi,"Audi A6 1.8 AMT, 2015, 189 631 км",1790000,"189 631 км, 1.8 AMT (190 л.с.), седан, передний, бензин"
45,i3883738165,Audi,"Audi A5 3.2 CVT, 2008, 21 100 км",2000000,"21 100 км, 3.2 CVT (265 л.с.), купе, передний, бензин"
46,i4006983030,Audi,"Audi 100 2.3 AT, 1992, 494 000 км",99999,"494 000 км, 2.3 AT (133 л.с.), седан, передний, бензин"
47,i4251155926,Audi,"Audi A5 1.8 CVT, 2015, 130 000 км",2145000,"130 000 км, 1.8 CVT (170 л.с.), лифтбек, передний, бензин"
48,i4142560631,Audi,"Audi A4 2.0 AMT, 2017, 143 817 км",2350000,"143 817 км, 2 AMT (190 л.с.), седан, передний, бензин"
49,i4125279976,Audi,"Audi A3 1.2 AMT, 2014, 122 700 км",1400000,"122 700 км, 1.2 AMT (110 л.с.), хетчбэк, передний, бензин"
50,i3985155069,Audi,"Audi A6 3.0 AMT, 2011, 267 000 км",2550000,"267 000 км, 3 AMT (245 л.с.), седан, полный, дизель"
51,i4282351972,Audi,"Audi A6 2.0 AMT, 2018, 163 000 км",2687200,"163 000 км, 2.0 AMT (190 л.с.), седан, передний, дизель"
52,i4075167245,Audi,"Audi A4 1.8 CVT, 2013, 197 000 км",1519000,"197 000 км, 1.8 CVT (170 л.с.), седан, передний, бензин"
53,i4081556474,Audi,"Audi A6 3.0 AT, 2018, 140 000 км",5500000,"140 000 км, 3.0 AT (286 л.с.), седан, полный, дизель"
54,i4110764280,Audi,"Audi A8 4.2 AT, 2008, 231 692 км",999670,"231 692 км, 4.2 AT (350 л.с.), седан, полный, бензин"
55,i4091858787,Audi,"Audi A4 2.0 AMT, 2013, 179 859 км",1549900,"179 859 км, 2 AMT (211 л.с.), седан, полный, бензин"
56,i3642194408,Audi,"Audi A6 Allroad Quattro 3.0 AMT, 2012, 288 000 км",2540000,"288 000 км, 3.0 AMT (245 л.с.), универсал, полный, дизель"
57,i4058707112,Audi,"Audi A6 2.0 AMT, 2022, 20 000 км",8200000,"20 000 км, 2 AMT (204 л.с.), седан, полный, дизель"
58,i3503114839,Audi,"Audi Q5 3.0 AMT, 2011, 254 083 км",1599000,"254 083 км, 3.0 AMT (239 л.с.), внедорожник, полный, дизель"
59,i4116068727,Audi,"Audi A7 3.0 AMT, 2011, 200 000 км",1990000,"200 000 км, 3 AMT (310 л.с.), лифтбек, полный, бензин"
60,i4096397452,Audi,"Audi A8 3.0 CVT, 2006, 220 000 км",880000,"220 000 км, 3 CVT (220 л.с.), седан, передний, бензин"
61,i4260100855,Audi,"Audi Q7 3.0 AT, 2019, 176 600 км",4790000,"176 600 км, 3.0 AT (249 л.с.), внедорожник, полный, дизель"
62,i4007701983,Audi,"Audi Q5 2.0 AT, 2013, 170 000 км",1970000,"170 000 км, 2 AT (225 л.с.), внедорожник, полный, бензин"
63,i4092262113,Audi,"Audi A6 1.8 AMT, 2016, 207 000 км",2035000,"207 000 км, 1.8 AMT (190 л.с.), седан, передний, бензин"
64,i4325835742,Audi,"Audi A6 2.4 AT, 2000, 350 000 км",530000,"350 000 км, 2.4 AT (165 л.с.), седан, передний, бензин"
65,i4131453132,Audi,"Audi A4 Allroad Quattro 2.0 AT, 2012, 185 000 км",1890000,"185 000 км, 2.0 AT (211 л.с.), универсал, полный, бензин"
66,i3958901332,Audi,"Audi A3 1.4 AMT, 2020, 82 851 км",2329000,"82 851 км, 1.4 AMT (150 л.с.), седан, передний, бензин"
67,i4163617209,Audi,"Audi A6 2.0 CVT, 2013, 130 000 км",2090000,"130 000 км, 2 CVT (180 л.с.), седан, передний, бензин"
68,i4091885552,Audi,"Audi A8 4.2 AT, 2010, 119 300 км",2435000,"119 300 км, 4.2 AT (372 л.с.), седан, полный, бензин"
69,i4449528862,Audi,"Audi Q3 2.0 AMT, 2016, 115 000 км",2270000,"115 000 км, 2 AMT (180 л.с.), внедорожник, полный, бензин"
70,i4010862735,Audi,"Audi SQ7 4.0 AT, 2018, 179 900 км",6699000,"179 900 км, 4 AT (435 л.с.), внедорожник, полный, дизель"
71,i3648948627,Audi,"Audi A5 2.0 AMT, 2013, 169 000 км",1800000,"169 000 км, 2 AMT (211 л.с.), лифтбек, полный, бензин"
72,i4276047912,Audi,"Audi A4 2.0 AMT, 2010, 193 609 км",1497000,"193 609 км, 2.0 AMT (211 л.с.), седан, полный, бензин"
73,i4153512043,Audi,"Audi Q5 2.0 AT, 2015, 129 760 км",2730000,"129 760 км, 2.0 AT (225 л.с.), внедорожник, полный, бензин"
74,i4105343952,Audi,"Audi Q8 3.0 AT, 2022, 35 км",12500000,"35 км, 3.0 AT (340 л.с.), внедорожник, полный, бензин"
75,i4084102075,Audi,"Audi Q3 2.0 AMT, 2012, 125 000 км",1735000,"125 000 км, 2 AMT (170 л.с.), внедорожник, полный, бензин"
76,i4055166769,Audi,"Audi RS7 4.0 AT, 2020, 23 031 км",14970000,"23 031 км, 4 AT (600 л.с.), лифтбек, полный, бензин"
77,i4193447946,Audi,"Audi A3 1.4 AMT, 2008, 149 000 км",939000,"149 000 км, 1.4 AMT (125 л.с.), хетчбэк, передний, бензин"
78,i3465514096,Audi,"Audi A6 Allroad Quattro 3.0 AMT, 2014, 166 783 км",1929990,"166 783 км, 3.0 AMT (310 л.с.), универсал, полный, бензин"
79,i4460297617,Audi,"Audi A5 2.0 AMT, 2012, 245 056 км",1619000,"245 056 км, 2 AMT (211 л.с.), купе, полный, бензин"
80,i3976172485,Audi,"Audi A6 2.0 CVT, 2011, 166 625 км",1605000,"166 625 км, 2 CVT (180 л.с.), седан, передний, бензин"
81,i4143131928,Audi,"Audi A4 1.8 MT, 1995, 185 000 км",290000,"185 000 км, 1.8 MT (125 л.с.), седан, передний, бензин"
82,i3363620515,Audi,"Audi A6 2.0 CVT, 2014, 132 000 км",1950000,"132 000 км, 2.0 CVT (180 л.с.), седан, передний, бензин"
83,i4427531545,Audi,"Audi Q5 2.0 AMT, 2017, 49 246 км",3850000,"49 246 км, 2 AMT (249 л.с.), внедорожник, полный, бензин"
84,i4040476483,Audi,"Audi Q3 2.0 AMT, 2015, 177 000 км",1850000,"177 000 км, 2.0 AMT (180 л.с.), внедорожник, полный, бензин"
85,i4175671406,Audi,"Audi Q5 2.0 AT, 2012, 100 200 км",2029000,"100 200 км, 2 AT (225 л.с.), внедорожник, полный, бензин"
86,i4260605039,Audi,"Audi Q7 3.0 AT, 2016, 240 000 км",3250000,"240 000 км, 3 AT (249 л.с.), внедорожник, полный, дизель"
87,i4434227316,Audi,"Audi A6 2.0 CVT, 2012, 268 000 км",1608000,"268 000 км, 2.0 CVT (180 л.с.), седан, передний, бензин"
88,i4167000182,Audi,"Audi 80 1.8 MT, 1989, 487 897 км",109900,"487 897 км, 1.8 MT (90 л.с.), седан, передний, бензин"
89,i2196861661,Audi,"Audi A6 Allroad Quattro 3.0 AMT, 2015, 163 500 км",2900000,"163 500 км, 3.0 AMT (245 л.с.), универсал, полный, дизель"
90,i4123242474,Audi,"Audi A4 1.8 CVT, 2014, 143 321 км",1640000,"143 321 км, 1.8 CVT (120 л.с.), седан, передний, бензин"
91,i3350964015,Audi,"Audi TTS 2.0 AMT, 2011, 147 000 км",2900000,"147 000 км, 2.0 AMT (272 л.с.), купе, полный, бензин"
92,i4530118413,Audi,"Audi Q5 2.0 AMT, 2014, 187 238 км",2149000,"187 238 км, 2 AMT (177 л.с.), внедорожник, полный, дизель"
93,i4242987935,Audi,"Audi TT 2.0 AMT, 2007, 206 000 км",1500000,"206 000 км, 2.0 AMT (200 л.с.), купе, передний, бензин"
94,i3860639197,Audi,"Audi Q7 3.0 AT, 2013, 301 159 км",1939000,"301 159 км, 3 AT (245 л.с.), внедорожник, полный, дизель"
95,i4071425905,Audi,"Audi A6 3.0 AMT, 2012, 147 000 км",2200000,"147 000 км, 3.0 AMT (310 л.с.), седан, полный, бензин"
96,i4151324908,Audi,"Audi Q3 2.0 AMT, 2020, 36 000 км",4350000,"36 000 км, 2.0 AMT (180 л.с.), внедорожник, полный, бензин"
97,i4004390804,Audi,"Audi Q5 2.0 AMT, 2020, 38 800 км",3480000,"38 800 км, 2.0 AMT (252 л.с.), внедорожник, полный, бензин"
98,i3352712218,Audi,"Audi A3 1.6 AMT, 2010, 140 400 км",850000,"140 400 км, 1.6 AMT (102 л.с.), хетчбэк, передний, бензин"
99,i4237569303,Audi,"Audi A4 2.0 AT, 2006, 275 000 км",1100000,"275 000 км, 2 AT (200 л.с.), седан, полный, бензин"
100,i4261540403,Audi,"Audi Q8 3.0 AT, 2022, 37 100 км",9490000,"37 100 км, 3 AT (249 л.с.), внедорожник, полный, дизель"
101,i4020657629,Audi,"Audi Q7 3.0 AT, 2015, 212 000 км",3749900,"212 000 км, 3 AT (249 л.с.), внедорожник, полный, дизель"
102,i4162933239,Audi,"Audi Q3 2.0 AMT, 2015, 108 800 км",1899000,"108 800 км, 2.0 AMT (170 л.с.), внедорожник, полный, бензин"
103,i4188228089,Audi,"Audi A7 2.8 AMT, 2010, 147 000 км",1770000,"147 000 км, 2.8 AMT (204 л.с.), лифтбек, полный, бензин"
104,i3480862494,Audi,"Audi Q5 2.0 AMT, 2022, 32 768 км",5990000,"32 768 км, 2 AMT (204 л.с.), внедорожник, полный, дизель"
105,i4426063037,Audi,"Audi Q5 2.0 AMT, 2021, 16 907 км",5450000,"16 907 км, 2 AMT (249 л.с.), внедорожник, полный, бензин"
106,i4491648399,Audi,"Audi Q5 2.0 AT, 2014, 46 000 км",2750000,"46 000 км, 2.0 AT (224 л.с.), внедорожник, полный, бензин"
107,i3939405422,Audi,"Audi A6 3.0 AMT, 2019, 170 000 км",3850000,"170 000 км, 3.0 AMT (340 л.с.), седан, полный, бензин"
108,i4326467288,Audi,"Audi 80 2.0 MT, 1992, 290 000 км",280000,"290 000 км, 2 MT (115 л.с.), седан, передний, бензин"
109,i3993619206,Audi,"Audi A8 3.0 AT, 2013, 218 000 км",1895000,"218 000 км, 3.0 AT (290 л.с.), седан, полный, бензин"
110,i4207405554,Audi,"Audi A3 1.4 AMT, 2012, 188 405 км",990000,"188 405 км, 1.4 AMT (125 л.с.), хетчбэк, передний, бензин"
111,i4083738664,Audi,"Audi A6 2.4 CVT, 2008, 254 685 км",640000,"254 685 км, 2.4 CVT (177 л.с.), седан, передний, бензин"
112,i4276077844,Audi,"Audi A3 1.4 AMT, 2014, 220 000 км",1400000,"220 000 км, 1.4 AMT (122 л.с.), седан, передний, бензин"
113,i4206591640,Audi,"Audi Q8 3.0 AT, 2020, 114 000 км",6950000,"114 000 км, 3.0 AT (249 л.с.), внедорожник, полный, дизель"
114,i4529587351,Audi,"Audi A4 1.8 MT, 2009, 205 000 км",1500000,"205 000 км, 1.8 MT (120 л.с.), седан, передний, бензин"
115,i4111478113,Audi,"Audi A6 1.8 AMT, 2015, 144 000 км",2190000,"144 000 км, 1.8 AMT (190 л.с.), седан, передний, бензин"
116,i4176036618,Audi,"Audi Q5 2.0 AMT, 2021, 41 205 км",4950000,"41 205 км, 2.0 AMT (249 л.с.), внедорожник, полный, бензин"
117,i4052012191,Audi,"Audi A6 2.0 CVT, 2013, 205 000 км",1750000,"205 000 км, 2.0 CVT (180 л.с.), седан, передний, бензин"
118,i4578216414,Audi,"Audi Q3 2.0 AMT, 2015, 183 000 км",1950000,"183 000 км, 2.0 AMT (180 л.с.), внедорожник, полный, бензин"
119,i4173777837,Audi,"Audi A3 1.2 AMT, 2011, 140 000 км",1100000,"140 000 км, 1.2 AMT (105 л.с.), хетчбэк, передний, бензин"
120,i4303780487,Audi,"Audi Q7 4.1 AT, 2012, 304 495 км",2500000,"304 495 км, 4.1 AT (340 л.с.), внедорожник, полный, дизель"
121,i4114183644,Audi,"Audi A3 1.6 AMT, 2010, 216 569 км",744000,"216 569 км, 1.6 AMT (102 л.с.), хетчбэк, передний, бензин"
122,i2771445478,Audi,"Audi Q7 3.0 AT, 2021, 63 000 км",9000000,"63 000 км, 3 AT (249 л.с.), внедорожник, полный, дизель"
123,i4157527481,Audi,"Audi A4 1.8 CVT, 2008, 181 500 км",840000,"181 500 км, 1.8 CVT (160 л.с.), седан, передний, бензин"
124,i4032369060,Audi,"Audi A6 2.8 AMT, 2011, 230 125 км",1650000,"230 125 км, 2.8 AMT (204 л.с.), седан, полный, бензин"
125,i4005214103,Audi,"Audi Q5 2.0 AT, 2013, 134 000 км",2150000,"134 000 км, 2.0 AT (225 л.с.), внедорожник, полный, бензин"
126,i4271544376,Audi,"Audi Q5 2.0 AT, 2014, 257 000 км",1899999,"257 000 км, 2 AT (225 л.с.), внедорожник, полный, бензин"
127,i3174503303,Audi,"Audi A4 1.8 CVT, 2010, 257 000 км",1230000,"257 000 км, 1.8 CVT (160 л.с.), седан, передний, бензин"
128,i4010858632,Audi,"Audi A6 2.4 CVT, 2007, 257 000 км",650000,"257 000 км, 2.4 CVT (177 л.с.), седан, передний, бензин"
129,i3978590896,Audi,"Audi A4 2.0 AMT, 2010, 210 000 км",1600000,"210 000 км, 2 AMT (211 л.с.), седан, полный, бензин"
130,i3771955638,Audi,"Audi Q3 2.0 AMT, 2012, 185 000 км",1700000,"185 000 км, 2 AMT (170 л.с.), внедорожник, полный, бензин"
131,i4142995145,Audi,"Audi A6 2.0 AMT, 2020, 57 459 км",4639000,"57 459 км, 2 AMT (204 л.с.), универсал, полный, дизель"
132,i4491713246,Audi,"Audi Q7 3.0 AT, 2017, 177 000 км",4490000,"177 000 км, 3 AT (249 л.с.), внедорожник, полный, дизель"
133,i3988109125,Audi,"Audi 100 1.8 MT, 1990, 375 000 км",150000,"375 000 км, 1.8 MT (90 л.с.), седан, передний, бензин"
134,i4095402771,Audi,"Audi A4 1.9 MT, 1998, 447 000 км",370000,"447 000 км, 1.9 MT (110 л.с.), седан, передний, дизель"
135,i4155654882,Audi,"Audi A8 4.2 AT, 2007, 302 000 км",895000,"302 000 км, 4.2 AT (350 л.с.), седан, полный, бензин"
136,i4043471590,Audi,"Audi A6 1.8 AMT, 2016, 240 001 км",1830000,"240 001 км, 1.8 AMT (190 л.с.), седан, передний, бензин"
137,i4092419022,Audi,"Audi 80 1.8 MT, 1989, 385 000 км",180000,"385 000 км, 1.8 MT (75 л.с.), седан, передний, бензин"
138,i4092448737,Audi,"Audi Q7 3.0 AT, 2024, 30 км",16490000,"30 км, 3 AT (231 л.с.), внедорожник, полный, дизель"
139,i2701656183,Audi,"Audi A4 1.8 CVT, 2012, 81 000 км",1370000,"81 000 км, 1.8 CVT (120 л.с.), седан, передний, бензин"
140,i4186362243,Audi,"Audi Q5 2.0 AMT, 2009, 207 100 км",1388000,"207 100 км, 2 AMT (211 л.с.), внедорожник, полный, бензин"
141,i3565166428,Audi,"Audi A4 1.8 CVT, 2013, 147 000 км",1490000,"147 000 км, 1.8 CVT (120 л.с.), седан, передний, бензин"
142,i4338855630,Audi,"Audi A6 2.0 CVT, 2012, 184 500 км",1340000,"184 500 км, 2.0 CVT (180 л.с.), седан, передний, бензин"
143,i4157334897,Audi,"Audi A4 2.0 AMT, 2019, 105 000 км",3633000,"105 000 км, 2 AMT (190 л.с.), универсал, полный, дизель"
144,i3989108145,Audi,"Audi A4 2.0 AMT, 2018, 84 639 км",2900000,"84 639 км, 2 AMT (249 л.с.), седан, полный, бензин"
145,i4239621252,Audi,"Audi A4 1.8 CVT, 2006, 125 350 км",759000,"125 350 км, 1.8 CVT (163 л.с.), седан, передний, бензин"
146,i4113027604,Audi,"Audi A6 2.4 CVT, 2008, 257 829 км",849000,"257 829 км, 2.4 CVT (177 л.с.), седан, передний, бензин"
147,i4237773309,Audi,"Audi 80 2.0 MT, 1994, 396 000 км",145000,"396 000 км, 2 MT (90 л.с.), седан, передний, бензин"
148,i4091751320,Audi,"Audi 100 2.3 MT, 1988, 440 000 км",165000,"440 000 км, 2.3 MT (136 л.с.), седан, передний, бензин"
149,i2274198913,Audi,"Audi A5 2.0 AMT, 2017, 112 000 км",3200000,"112 000 км, 2 AMT (249 л.с.), купе, полный, бензин"
150,i4043239460,Audi,"Audi Q3 2.0 AMT, 2011, 268 274 км",1449000,"268 274 км, 2 AMT (211 л.с.), внедорожник, полный, бензин"
151,i3014220700,Audi,"Audi A4 Allroad Quattro 2.0 AMT, 2015, 115 400 км",2200000,"115 400 км, 2.0 AMT (225 л.с.), универсал, полный, бензин"
152,i4294283722,Audi,"Audi TT 1.8 MT, 2001, 230 000 км",775000,"230 000 км, 1.8 MT (225 л.с.), кабриолет, полный, бензин"
153,i4131481610,Audi,"Audi Q7 3.0 AT, 2015, 172 271 км",3100000,"172 271 км, 3 AT (249 л.с.), внедорожник, полный, дизель"
154,i4395970439,Audi,"Audi Q3 2.0 AMT, 2016, 79 500 км",2300000,"79 500 км, 2 AMT (180 л.с.), внедорожник, полный, бензин"
155,i4156970419,Audi,"Audi A5 2.0 AMT, 2013, 49 200 км",2700000,"49 200 км, 2.0 AMT (225 л.с.), лифтбек, полный, бензин"
156,i4401831518,Audi,"Audi A6 2.0 CVT, 2012, 288 000 км",1140000,"288 000 км, 2 CVT (180 л.с.), универсал, передний, бензин"
157,i4530183468,Audi,"Audi A6 2.0 AMT, 2021, 72 000 км",4950000,"72 000 км, 2 AMT (245 л.с.), седан, полный, бензин"
158,i4021078034,Audi,"Audi A6 Allroad Quattro 3.0 AT, 2012, 199 000 км",2100000,"199 000 км, 3 AT (290 л.с.), универсал, полный, бензин"
159,i2356475852,Audi,"Audi A6 2.0 AMT, 2020, 50 628 км",4299000,"50 628 км, 2 AMT (245 л.с.), седан, полный, бензин"
160,i4425583799,Audi,"Audi A6 3.1 AT, 2008, 175 200 км",910000,"175 200 км, 3.1 AT (255 л.с.), седан, полный, бензин"
161,i4155496408,Audi,"Audi RS6 4.0 AT, 2015, 125 000 км",4900000,"125 000 км, 4 AT (560 л.с.), универсал, полный, бензин"
162,i4024765996,Audi,"Audi A5 2.0 AMT, 2012, 165 800 км",1600000,"165 800 км, 2 AMT (211 л.с.), лифтбек, полный, бензин"
163,i4304166207,Audi,"Audi A5 2.0 AMT, 2016, 81 323 км",3700000,"81 323 км, 2.0 AMT (190 л.с.), купе, полный, дизель"
164,i4361666282,Audi,"Audi Q3 2.0 AMT, 2011, 152 000 км",1850000,"152 000 км, 2 AMT (211 л.с.), внедорожник, полный, бензин"
165,i4175086919,Audi,"Audi Q5 2.0 AT, 2010, 187 000 км",1600000,"187 000 км, 2 AT (180 л.с.), внедорожник, полный, бензин"
166,i3895513500,Audi,"Audi Q7 3.0 AT, 2016, 109 000 км",4780000,"109 000 км, 3 AT (249 л.с.), внедорожник, полный, дизель"
167,i4004689258,Audi,"Audi A4 1.8 CVT, 2013, 162 000 км",1399999,"162 000 км, 1.8 CVT (170 л.с.), седан, передний, бензин"
168,i4101896525,Audi,"Audi Q7 3.0 AT, 2020, 108 000 км",7600000,"108 000 км, 3.0 AT (249 л.с.), внедорожник, полный, дизель"
169,i4272211745,Audi,"Audi A4 1.8 CVT, 2008, 233 900 км",1099999,"233 900 км, 1.8 CVT (160 л.с.), седан, передний, бензин"
170,i4020663376,Audi,"Audi A4 1.4 AMT, 2016, 110 000 км",2150000,"110 000 км, 1.4 AMT (150 л.с.), седан, передний, бензин"
171,i4238466599,Audi,"Audi A5 2.0 AMT, 2009, 100 000 км",1455000,"100 000 км, 2.0 AMT (211 л.с.), лифтбек, полный, бензин"
172,i4228702240,Audi,"Audi Q5 2.0 AT, 2013, 119 000 км",2300000,"119 000 км, 2 AT (225 л.с.), внедорожник, полный, бензин"
173,i3948265167,Audi,"Audi A4 2.0 AMT, 2018, 63 000 км",3010000,"63 000 км, 2.0 AMT (190 л.с.), седан, передний, дизель"
174,i4481560969,Audi,"Audi Q7 3.0 AT, 2014, 191 000 км",2750000,"191 000 км, 3.0 AT (245 л.с.), внедорожник, полный, дизель"
175,i4238350496,Audi,"Audi A4 1.8 CVT, 2014, 132 721 км",1843000,"132 721 км, 1.8 CVT (170 л.с.), седан, передний, бензин"
176,i4132302405,Audi,"Audi Q3 2.0 AMT, 2011, 159 000 км",1499000,"159 000 км, 2 AMT (211 л.с.), внедорожник, полный, бензин"
177,i4272016551,Audi,"Audi A6 2.0 AMT, 2020, 103 000 км",3850000,"103 000 км, 2 AMT (245 л.с.), седан, полный, бензин"
178,i4266180755,Audi,"Audi A4 1.8 CVT, 2010, 147 000 км",1350000,"147 000 км, 1.8 CVT (160 л.с.), седан, передний, бензин"
179,i4291658296,Audi,"Audi A6 2.0 CVT, 2013, 322 440 км",1450000,"322 440 км, 2 CVT (180 л.с.), седан, передний, бензин"
180,i4151054619,Audi,"Audi Q7 3.0 AT, 2018, 144 000 км",5200000,"144 000 км, 3.0 AT (249 л.с.), внедорожник, полный, дизель"
181,i928570352,Audi,"Audi A5 2.0 AMT, 2012, 142 800 км",1810000,"142 800 км, 2.0 AMT (211 л.с.), лифтбек, полный, бензин"
